"Reference","Value","Footprint","Datasheet","MIN_ORDER","Note","PRICE_FRACTION","UNIT_PRICE","URL","Qty"
"TP5","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","BUF","","DNI","","1"
"TP6","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","VG","","DNI","","1"
"TP7","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","SEN","","DNI","","1"
"TP8","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","ED1","","DNI","","1"
"TP9","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","DEC","","DNI","","1"
"TP10","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","ED4","","DNI","","1"
"TP11","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","VCF1","","DNI","","1"
"TP12","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","VCF2","","DNI","","1"
"TP13","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","OUT","","DNI","","1"
"TP14","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","JIN","","DNI","","1"
"TP15","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","JOUT","","DNI","","1"
"TP16","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","EDIN","","DNI","","1"
"TP17","Test_point_D1.5_H0.5","dvhx-kicad-library-2:Test_point_1.5mm_H0.5mm","","","ED2","","DNI","","1"
"U1","USB_C","dvhx-kicad-library-2:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.lcsc.com/datasheet/lcsc_datasheet_2205251630_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.pdf","","","","DNI","","1"
"U2","OPA197IDBV","dvhx-kicad-library-2:SOT23-5-OGPNV-V2","https://www.lcsc.com/datasheet/C221351.pdf","1","","","0.9670","https://www.lcsc.com/product-detail/C131929.html","1"
"U3","OPA197IDBV","dvhx-kicad-library-2:SOT23-5-OGPNV-V2","https://www.lcsc.com/datasheet/C221351.pdf","1","","","0.9670","https://www.lcsc.com/product-detail/C131929.html","1"
"U4","78L05","dvhx-kicad-library-2:SOT-89-3-OGI","https://www.lcsc.com/datasheet/C347258.pdf","20","","","0.0263","https://www.lcsc.com/product-detail/C347258.html","1"
"U5","LM13700","Package_SO:SOP-16_4.4x10.4mm_P1.27mm","https://www.lcsc.com/datasheet/C174050.pdf","1","","","0.5467","https://www.lcsc.com/product-detail/C174050.html","1"
"U6","OPA197IDBV","dvhx-kicad-library-2:SOT23-5-OGPNV-V2","https://www.lcsc.com/datasheet/C221351.pdf","1","","","0.9670","https://www.lcsc.com/product-detail/C131929.html","1"
"U7","OPA197IDBV","dvhx-kicad-library-2:SOT23-5-OGPNV-V2","https://www.lcsc.com/datasheet/C221351.pdf","1","","","0.9670","https://www.lcsc.com/product-detail/C131929.html","1"
"U8","CH221K","dvhx-kicad-library-2:SOT23-6","https://www.lcsc.com/datasheet/C5125736.pdf","","","","DNI","","1"
"U99","9V (JST-XH)","dvhx-kicad-library-2:Battery_JST_XH_female_2pin","https://www.lcsc.com/datasheet/C158012.pdf","20","","","0.0324","https://www.lcsc.com/product-detail/C158012.html","1"
"ZD99","3~10V","dvhx-kicad-library-2:D_SOD-323-V3","https://www.lcsc.com/datasheet/C22399885.pdf","50","","","0.0140","https://www.lcsc.com/product-detail/C22399885.html","1"
